timestamp_emg,emg_data
1776861779.1112971,"[[-0.01979978]
 [ 0.01323987]
 [-0.02579652]]"
1776861779.1113365,"[[-0.01703739]
 [ 0.01036271]
 [-0.0216654 ]]"
1776861779.1113658,"[[-0.02332239]
 [ 0.0035036 ]
 [-0.02198511]]"
1776861779.111398,"[[-0.04440001]
 [-0.00213183]
 [-0.02386509]]"
1776861779.1115928,"[[-0.03191194]
 [ 0.01337129]
 [-0.02740731]]"
1776861779.1116288,"[[-0.02956815]
 [ 0.00760356]
 [-0.02452484]]"
1776861779.1116712,"[[-0.0256255 ]
 [ 0.00387938]
 [-0.02820148]]"
1776861779.1117227,"[[-0.02259426]
 [ 0.00077958]
 [-0.02983244]]"
1776861779.1117568,"[[-0.02304395]
 [ 0.00877093]
 [-0.02440509]]"
1776861779.1117866,"[[-0.02993178]
 [ 0.02834586]
 [-0.02224721]]"
1776861779.1118076,"[[-0.03611544]
 [ 0.03216432]
 [-0.02422002]]"
1776861779.1121392,"[[-0.01549019]
 [-0.01179745]
 [-0.01891173]]"
1776861779.1121757,"[[-0.01834154]
 [ 0.00367394]
 [-0.02113121]]"
1776861779.1121824,"[[-0.02053308]
 [ 0.00655462]
 [-0.01739207]]"
1776861779.112193,"[[-0.02213999]
 [ 0.01151654]
 [-0.01362074]]"
1776861779.1122978,"[[-0.03297596]
 [-0.00221695]
 [-0.02453928]]"
1776861779.1123219,"[[-0.03559271]
 [-0.02734598]
 [-0.02352839]]"
1776861779.1123288,"[[-0.03636305]
 [-0.04276842]
 [-0.0225489 ]]"
1776861779.1123502,"[[-0.03430231]
 [-0.04309435]
 [-0.02269857]]"
1776861779.112357,"[[-0.03247165]
 [-0.04367916]
 [-0.02417871]]"
1776861779.1123798,"[[-0.03061731]
 [-0.04770282]
 [-0.02543005]]"
1776861779.1123867,"[[-0.02807501]
 [-0.04657193]
 [-0.02476378]]"
1776861779.112415,"[[-0.02854   ]
 [-0.03292261]
 [-0.021641  ]]"
1776861779.1124353,"[[-0.02548146]
 [-0.0423754 ]
 [-0.02314897]]"
1776861779.1124647,"[[-0.0166263 ]
 [-0.02641831]
 [-0.02633256]]"
1776861779.1124938,"[[-0.01576757]
 [ 0.00692169]
 [-0.02866243]]"
1776861779.1126213,"[[-0.02505596]
 [ 0.00208239]
 [-0.02073406]]"
1776861779.112742,"[[-0.03627201]
 [-0.02340668]
 [-0.02542772]]"
1776861779.1127656,"[[-0.03549196]
 [-0.02684215]
 [-0.02685527]]"
1776861779.1127725,"[[-0.03273839]
 [-0.0231072 ]
 [-0.02503268]]"
1776861779.1127954,"[[-0.02851743]
 [-0.01227257]
 [-0.02192815]]"
1776861779.112802,"[[-0.02488738]
 [-0.00015377]
 [-0.02142036]]"
1776861779.112825,"[[-0.02365706]
 [ 0.0087812 ]
 [-0.02413939]]"
1776861779.1128316,"[[-0.02417726]
 [ 0.01551034]
 [-0.02659628]]"
1776861779.1128533,"[[-0.02563389]
 [ 0.0189028 ]
 [-0.0266813 ]]"
1776861779.1128602,"[[-0.02831541]
 [ 0.01476585]
 [-0.02534525]]"
1776861779.1128845,"[[-0.03075617]
 [ 0.00474324]
 [-0.02454841]]"
1776861779.1129513,"[[-0.02481082]
 [-0.01570531]
 [-0.02437586]]"
1776861779.1129618,"[[-0.01783845]
 [-0.01081167]
 [-0.01807195]]"
1776861779.112972,"[[-0.0134391 ]
 [-0.01189095]
 [-0.01651252]]"
1776861779.112982,"[[-0.01244167]
 [-0.0105335 ]
 [-0.01994261]]"
1776861779.112992,"[[-0.01376235]
 [ 0.00361906]
 [-0.02463074]]"
1776861779.113002,"[[-0.0155437 ]
 [ 0.02606095]
 [-0.02723993]]"
1776861779.113036,"[[-0.01591537]
 [ 0.04112069]
 [-0.02686001]]"
1776861779.113058,"[[-0.0161403 ]
 [ 0.03172352]
 [-0.02494271]]"
1776861779.1130648,"[[-0.01814361]
 [ 0.01422238]
 [-0.02187947]]"
1776861779.1130874,"[[-0.02045192]
 [-0.00795312]
 [-0.01954804]]"
1776861779.1130939,"[[-0.01967818]
 [-0.02014708]
 [-0.02029021]]"
1776861779.1131167,"[[-0.01500186]
 [-0.01421342]
 [-0.02297364]]"
1776861779.1131234,"[[-0.00913142]
 [ 0.00284706]
 [-0.02468441]]"
1776861779.113266,"[[-0.00988824]
 [-0.00431226]
 [-0.0220601 ]]"
1776861779.1132758,"[[-0.01053428]
 [-0.00405608]
 [-0.02214   ]]"
1776861779.1132855,"[[-0.01248625]
 [-0.00339486]
 [-0.02238721]]"
1776861779.1133058,"[[-0.0188368 ]
 [-0.00942966]
 [-0.02035612]]"
1776861779.1133263,"[[-0.02346133]
 [-0.01741329]
 [-0.02230448]]"
1776861779.1133962,"[[-0.02903084]
 [ 0.00027558]
 [-0.02994293]]"
1776861779.1134162,"[[-0.02837759]
 [ 0.01170172]
 [-0.02278209]]"
1776861779.113426,"[[-0.03123893]
 [ 0.01433807]
 [-0.02134542]]"
1776861779.113436,"[[-0.03429432]
 [ 0.01301166]
 [-0.02192758]]"
1776861779.114555,"[[-0.0267805]
 [-0.0171776]
 [-0.0243969]]"
1776861779.1146028,"[[-0.02478827]
 [-0.02093867]
 [-0.02574201]]"
1776861779.114634,"[[-0.02426511]
 [-0.01336986]
 [-0.02687626]]"
1776861779.1146674,"[[-0.02376871]
 [-0.00100628]
 [-0.02593286]]"
1776861779.1152408,"[[-0.02330205]
 [-0.02301189]
 [-0.02005125]]"
1776861779.115998,"[[-0.04150165]
 [-0.00082228]
 [-0.02980765]]"
1776861779.1162162,"[[-0.01648242]
 [-0.06988111]
 [-0.02308469]]"
1776861779.116226,"[[-0.01225928]
 [-0.03707098]
 [-0.02320525]]"
1776861779.116236,"[[-0.00934958]
 [-0.01042137]
 [-0.02061293]]"
1776861779.1167765,"[[-0.02308919]
 [-0.00105112]
 [-0.02089725]]"
1776861779.1167862,"[[-0.02085432]
 [-0.001101  ]
 [-0.01934864]]"
1776861779.116816,"[[-0.02089918]
 [-0.00437427]
 [-0.02307272]]"
1776861779.1168356,"[[-0.02406164]
 [ 0.00531214]
 [-0.02604681]]"
1776861779.1168559,"[[-0.02416769]
 [ 0.01533358]
 [-0.02216622]]"
1776861779.1168656,"[[-0.02369713]
 [ 0.0238384 ]
 [-0.020678  ]]"
1776861779.1168754,"[[-0.02426247]
 [ 0.02746987]
 [-0.02197472]]"
1776861779.1169245,"[[-0.02445861]
 [-0.00616998]
 [-0.02885099]]"
1776861779.1169386,"[[-0.02627089]
 [-0.00044848]
 [-0.02781839]]"
1776861779.1170573,"[[-0.02173521]
 [-0.00832095]
 [-0.0250772 ]]"
1776861779.1170638,"[[-0.02054845]
 [-0.00790369]
 [-0.02631651]]"
1776861779.1170707,"[[-0.01939322]
 [-0.00992897]
 [-0.02873329]]"
1776861779.1170774,"[[-0.01784481]
 [-0.01178287]
 [-0.03125327]]"
1776861779.1170838,"[[-0.01682677]
 [-0.01121509]
 [-0.03107691]]"
1776861779.1171207,"[[-0.01706406]
 [-0.0037151 ]
 [-0.02627846]]"
1776861779.1171362,"[[-0.0180566 ]
 [ 0.00877511]
 [-0.01981481]]"
1776861779.1171489,"[[-0.01911084]
 [ 0.01642989]
 [-0.01732639]]"
1776861779.11716,"[[-0.02039686]
 [ 0.01609152]
 [-0.01924478]]"
1776861779.1171706,"[[-0.02233971]
 [ 0.01193126]
 [-0.02153816]]"
1776861779.1171808,"[[-0.0246051 ]
 [ 0.0066766 ]
 [-0.02230701]]"
1776861779.117191,"[[-0.02609422]
 [ 0.00303621]
 [-0.02269582]]"
1776861779.1172013,"[[-0.02655239]
 [ 0.00276222]
 [-0.02428964]]"
1776861779.117211,"[[-0.0274919 ]
 [ 0.00229372]
 [-0.02702148]]"
1776861779.1172214,"[[-0.02889719]
 [-0.00216032]
 [-0.0290542 ]]"
1776861779.1172311,"[[-0.028783  ]
 [-0.0091755 ]
 [-0.02902322]]"
1776861779.1172411,"[[-0.02775812]
 [-0.01481205]
 [-0.02798915]]"
1776861779.117251,"[[-0.02833825]
 [-0.01719928]
 [-0.02785299]]"
1776861779.1172607,"[[-0.03077868]
 [-0.01760658]
 [-0.02876029]]"
1776861779.1172707,"[[-0.03335445]
 [-0.01663967]
 [-0.02973798]]"
1776861779.1172802,"[[-0.03506544]
 [-0.01202681]
 [-0.03036796]]"
1776861779.1172903,"[[-0.03553226]
 [-0.00270304]
 [-0.03033885]]"
1776861779.1173003,"[[-0.03460097]
 [ 0.00953358]
 [-0.02878291]]"
1776861779.11731,"[[-0.03347523]
 [ 0.02078814]
 [-0.02514666]]"
1776861779.1173203,"[[-0.03256882]
 [ 0.02389582]
 [-0.01991211]]"
1776861779.11733,"[[-0.03068939]
 [ 0.01799658]
 [-0.01584731]]"
1776861779.1173403,"[[-0.02675742]
 [ 0.01356079]
 [-0.01660732]]"
1776861779.1173766,"[[-0.01919537]
 [ 0.01593683]
 [-0.02112088]]"
1776861779.117417,"[[-0.01024435]
 [ 0.01531312]
 [-0.02432879]]"
1776861779.1174586,"[[-0.00771392]
 [-0.00136323]
 [-0.02375904]]"
1776861779.1174672,"[[-0.01315181]
 [-0.02844072]
 [-0.02136455]]"
1776861779.1174812,"[[-0.01909644]
 [-0.04489952]
 [-0.01992763]]"
1776861779.1174927,"[[-0.02069128]
 [-0.04334052]
 [-0.0195668 ]]"
1776861779.1175034,"[[-0.01856995]
 [-0.03500149]
 [-0.01922606]]"
1776861779.117514,"[[-0.01482667]
 [-0.02955759]
 [-0.01903504]]"
1776861779.1175241,"[[-0.01153107]
 [-0.02336946]
 [-0.01929234]]"
1776861779.1175342,"[[-0.01030857]
 [-0.01267277]
 [-0.01988938]]"
1776861779.1175444,"[[-0.01205768]
 [-0.00434524]
 [-0.02068471]]"
1776861779.1175544,"[[-0.01598662]
 [-0.00135557]
 [-0.02128551]]"
1776861779.1175644,"[[-0.02009082]
 [-0.0002121 ]
 [-0.02114826]]"
1776861779.1175745,"[[-0.02316087]
 [-0.00193338]
 [-0.02018087]]"
1776861779.1175845,"[[-0.02492387]
 [-0.00583682]
 [-0.019145  ]]"
1776861779.1175947,"[[-0.02567036]
 [-0.00589017]
 [-0.0194908 ]]"
1776861779.1176045,"[[-0.02655134]
 [-0.00036597]
 [-0.02221772]]"
1776861779.1176147,"[[-0.02808292]
 [ 0.00556287]
 [-0.02570172]]"
1776861779.1176245,"[[-0.02920293]
 [ 0.00666952]
 [-0.02687615]]"
1776861779.1176345,"[[-0.02907123]
 [ 0.00279498]
 [-0.02631543]]"
1776861779.1176443,"[[-0.02733903]
 [-0.00364656]
 [-0.02654792]]"
1776861779.117654,"[[-0.02387758]
 [-0.00863576]
 [-0.02682827]]"
1776861779.117664,"[[-0.02017134]
 [-0.00910711]
 [-0.02678612]]"
