a_bicep,a_tricep,a_difference
0.3640036477314346,1.0,-0.6359963522685654
0.36504902764611524,1.0,-0.6349509723538848
0.3660860620443407,1.0,-0.6339139379556593
0.36711423731406223,1.0,-0.6328857626859378
0.36813313975366224,1.0,-0.6318668602463378
0.36914254623752674,1.0,-0.6308574537624733
0.37014257625095087,1.0,-0.6298574237490491
0.3711337476369144,1.0,-0.6288662523630856
0.37211666014852823,1.0,-0.6278833398514718
0.3730915497940966,1.0,-0.6269084502059035
0.3740582606837235,1.0,-0.6259417393162765
0.3750165769920346,1.0,-0.6249834230079654
0.3759664036901131,1.0,-0.6240335963098869
0.3769076830093687,1.0,-0.6230923169906313
0.37784028340656894,1.0,-0.6221597165934311
0.3787640266503377,1.0,-0.6212359733496623
0.3796789005621445,1.0,-0.6203210994378555
0.3805853002182737,1.0,-0.6194146997817263
0.3814839575593238,1.0,-0.6185160424406762
0.3823755573892628,1.0,-0.6176244426107371
0.38326040101095227,1.0,-0.6167395989890477
0.3841380354898357,1.0,-0.6158619645101643
0.38500697774335235,1.0,-0.6149930222566476
0.38586544149645274,1.0,-0.6141345585035473
0.38671250836956755,1.0,-0.6132874916304325
0.3875482100637773,1.0,-0.6124517899362227
0.3883729580228428,1.0,-0.6116270419771572
0.3891872529558815,1.0,-0.6108127470441185
0.3899914513992628,1.0,-0.6100085486007372
0.39078562400120953,1.0,-0.6092143759987905
0.39156982796443374,1.0,-0.6084301720355663
0.3923443160016806,1.0,-0.6076556839983194
0.39310929440391984,1.0,-0.6068907055960802
0.39386461903220776,1.0,-0.6061353809677923
0.39460978057855456,1.0,-0.6053902194214454
0.39534426498734865,1.0,-0.6046557350126514
0.3960678884553425,1.0,-0.6039321115446574
0.39678073877585085,1.0,-0.6032192612241492
0.39748308605136234,1.0,-0.6025169139486377
0.3981755472640345,1.0,-0.6018244527359655
0.39885912221212294,1.0,-0.6011408777878771
0.39953480231147565,1.0,-0.6004651976885244
0.40020318870605637,1.0,-0.5997968112939436
