Format Version,1.0,
Take Name,ExoTest2,
Capture Frame Rate,2000.00,
Export Frame Rate,200.00,
Capture Start Time,21 Apr 2026 14:55:38 +0200,
Total Frames In Take,2265,
Total Exported Frames,22650,
Coordinate Space,Local,
Device Name,Trigno 2801,
Device Type,0,
Device Channel Count,2,
Mocap Rate,200.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Bicep,Tricep
50,0.250000,509,-0.016165,0.001239
51,0.255000,510,-0.017728,-0.000016
51,0.255000,511,-0.022153,-0.001780
51,0.255000,512,-0.026679,-0.002866
51,0.255000,513,-0.031433,-0.003300
51,0.255000,514,-0.034699,-0.004318
51,0.255000,515,-0.035292,-0.004435
51,0.255000,516,-0.035082,-0.002579
51,0.255000,517,-0.033730,-0.001411
51,0.255000,518,-0.031040,-0.002155
51,0.255000,519,-0.028371,-0.003503
52,0.260000,520,-0.026852,-0.003713
52,0.260000,521,-0.025646,-0.003171
52,0.260000,522,-0.024434,-0.003152
52,0.260000,523,-0.024311,-0.003616
52,0.260000,524,-0.025888,-0.004468
52,0.260000,525,-0.029029,-0.005035
52,0.260000,526,-0.032266,-0.004355
52,0.260000,527,-0.030578,-0.004441
52,0.260000,528,-0.029887,-0.006021
52,0.260000,529,-0.029663,-0.006349
53,0.265000,530,-0.025855,-0.005008
53,0.265000,531,-0.022555,-0.002710
53,0.265000,532,-0.022330,-0.001591
53,0.265000,533,-0.023754,-0.002304
53,0.265000,534,-0.027512,-0.004190
53,0.265000,535,-0.031771,-0.004004
53,0.265000,536,-0.033819,-0.001917
53,0.265000,537,-0.034970,-0.001510
53,0.265000,538,-0.038298,-0.002799
53,0.265000,539,-0.042080,-0.004419
54,0.270000,540,-0.040311,-0.005870
54,0.270000,541,-0.035688,-0.005508
54,0.270000,542,-0.031704,-0.003428
54,0.270000,543,-0.029043,-0.002630
54,0.270000,544,-0.027832,-0.003793
54,0.270000,545,-0.028271,-0.003395
54,0.270000,546,-0.027514,-0.002978
54,0.270000,547,-0.027107,-0.005150
54,0.270000,548,-0.028068,-0.007503
54,0.270000,549,-0.028105,-0.008451
55,0.275000,550,-0.027319,-0.009127
55,0.275000,551,-0.027498,-0.009856
55,0.275000,552,-0.029704,-0.009566
55,0.275000,553,-0.030810,-0.008863
55,0.275000,554,-0.029955,-0.008192
55,0.275000,555,-0.030821,-0.006944
55,0.275000,556,-0.031851,-0.006343
55,0.275000,557,-0.029498,-0.005757
