t_s,q_rad,q_des_rad,K,B,jerk,tau_Nm,ilc_ff_Nm,reward
17.03429126739502,0.0,0.1286107095892392,0.01655106591708162,-0.003386984617613678,0.0,-0.13048649751282765,0.0,0.5365840500621966
17.043229341506958,0.0,0.12848855422231734,0.016524597236148398,-0.002383829736269461,0.0,-0.13035330997079753,0.0,0.5368145653990303
17.051217794418335,0.0,0.12836745520561424,0.016492148393228292,-0.002630896559205716,0.0,-0.130226602223726,0.0,0.5370443027426247
17.06151247024536,0.0,0.128247303839213,0.01645603815444599,-0.003660772384968191,0.0,-0.13011082264080262,0.0,0.5372734430530032
17.069653749465942,0.0,0.12812780993535966,0.01643109349882012,-0.002508478076662553,0.0,-0.12997619432738133,0.0,0.5375025204686787
17.078309535980225,0.0,0.12800910623162137,0.016399678092209637,-0.002689861894117758,0.0,-0.1298522601218568,0.0,0.5377312635747944
17.087604999542236,0.0,0.12789132577083187,0.016369330425627687,-0.002711549164764365,0.0,-0.12972926081870417,0.0,0.5379593950650056
17.096903800964355,0.0,0.1277745985379363,0.016343294123773285,-0.0019343213206173726,0.0,-0.12960980115716536,0.0,0.5381866383372017
17.10541319847107,0.0,0.1276592115777169,0.01631178329842476,-0.0023207559704884182,0.0,-0.1294868767120083,0.0,0.5384124036383957
17.113645315170288,0.0,0.12754521296253019,0.01628164046853988,-0.0025108935943669417,0.0,-0.1293674327064563,0.0,0.5386365611816849
17.12193727493286,0.0,0.12743264244301777,0.016256324141903936,-0.001818082829303608,0.0,-0.12925377125825968,0.0,0.5388589959883489
17.132328510284424,0.0,0.12732171531203745,0.016226105809956575,-0.0021899194043255195,0.0,-0.1291349155123553,0.0,0.5390792423949466
17.143213033676147,0.0,0.1272124413396899,0.01619722941056497,-0.0023834975489559988,0.0,-0.12902002776821428,0.0,0.539297237848866
17.155319213867188,0.0,0.1271044943649013,0.016165581057914245,-0.0032008208303760826,0.0,-0.1289106320063988,0.0,0.5395135946650755
17.164259910583496,0.0,0.1269976113493805,0.01614364559016254,-0.0021437107034554446,0.0,-0.12879670781589203,0.0,0.53972881016256
17.17223048210144,0.0,0.12689190218608773,0.01611587469505488,-0.002312134136039189,0.0,-0.12868551741565018,0.0,0.5399426354445208
17.18140482902527,0.0,0.12678745439550396,0.01608918294066384,-0.0023340913498128835,0.0,-0.12857638590154,0.0,0.5401548632693784
17.191673040390015,0.0,0.12668419385344737,0.016062981181511254,-0.0023229644682355253,0.0,-0.12846861478140537,0.0,0.5403656140239554
17.201555490493774,0.0,0.12658207410664057,0.016037106200328496,-0.002308748776230029,0.0,-0.12836205585240595,0.0,0.5405749540915913
17.210307598114014,0.0,0.1264810575500503,0.01601163356532421,-0.0022743597117071985,0.0,-0.12825673643950108,0.0,0.5407829334125303
17.220670461654663,0.0,0.1263811056686282,0.015986208452456015,-0.0022883566664392875,0.0,-0.12815235427926538,0.0,0.5409896052870926
17.22942042350769,0.0,0.12628232971373046,0.015964822855581484,-0.001561332388802789,0.0,-0.12805613824457573,0.0,0.5411947128565723
17.23854351043701,0.0,0.12618484187804618,0.01593567126421961,-0.0024495287783292997,0.0,-0.12794717474845363,0.0,0.5413979935642275
17.247564554214478,0.0,0.12608858850658938,0.01591508399380356,-0.0016984706193500228,0.0,-0.12785201217639217,0.0,0.5415995291488263
17.256489753723145,0.0,0.1259936587541177,0.01589037820208677,-0.0018378109801614724,0.0,-0.12775133899666324,0.0,0.5417991025720613
17.264257669448853,0.0,0.12590026867394616,0.015869171573157325,-0.0013613283448573545,0.0,-0.12766082606649834,0.0,0.5419962256407078
17.274227380752563,0.0,0.12580857089065317,0.015844245413917685,-0.001714254634819238,0.0,-0.12755971887167872,0.0,0.5421905379654276
17.28242802619934,0.0,0.12571853737454625,0.015820770390498357,-0.0018651173728037112,0.0,-0.1274639702663638,0.0,0.5423820596427357
17.291935920715332,0.0,0.1256300028428879,0.015797794432307184,-0.001995083248870105,0.0,-0.1273703567202325,0.0,0.5425711058246563
17.301166534423828,0.0,0.12554281047131913,0.015775614226854216,-0.002037058290283407,0.0,-0.1272790410180474,0.0,0.5427579792365668
17.310249090194702,0.0,0.12545694842046723,0.01575683928295531,-0.0014706181997665249,0.0,-0.12719638582889825,0.0,0.5429426754659015
17.32123875617981,0.0,0.1253725289132126,0.015734226078086243,-0.0017438246880641058,0.0,-0.12710442473649286,0.0,0.5431249224790763
17.33169150352478,0.0,0.12528935622394868,0.015709459546787978,-0.0025109466836668206,0.0,-0.12701277091242386,0.0,0.5433051134850944
17.339216232299805,0.0,0.12520711013503372,0.015692611744486655,-0.0017505323305292528,0.0,-0.12693171969816228,0.0,0.5434839190749202
17.34920048713684,0.0,0.12512564215692928,0.015668415789878272,-0.00249479021494049,0.0,-0.1268420278568285,0.0,0.5436616443898424
17.357191562652588,0.0,0.125044818715306,0.01565197197039488,-0.0017304011339481643,0.0,-0.1267627236220617,0.0,0.5438385664043065
17.365934371948242,0.0,0.1249646432533904,0.01563087653767015,-0.0019271951565915824,0.0,-0.12667698942043343,0.0,0.5440146646677111
17.37522268295288,0.0,0.1248850959075764,0.01561048457858887,-0.002017812450614016,0.0,-0.12659322380399288,0.0,0.5441899701218509
17.38412857055664,0.0,0.12480615386681713,0.015593444553173528,-0.0014736110571114103,0.0,-0.12651765511658733,0.0,0.5443645208645496
17.395761013031006,0.0,0.12472778903450797,0.015569245911529668,-0.0023862614144203142,0.0,-0.1264273593069736,0.0,0.5445383674458648
17.403539180755615,0.0,0.12464982312852879,0.015553136939167055,-0.0017103710267468656,0.0,-0.12635113890841687,0.0,0.5447118960813863
17.411931037902832,0.0,0.12457222791069641,0.015532619031521054,-0.0019333056582784708,0.0,-0.12626779813665365,0.0,0.5448851625938096
17.420629024505615,0.0,0.12449497402384997,0.015512792104866963,-0.0020380202055489153,0.0,-0.12618633898080836,0.0,0.5450582261370888
17.43081521987915,0.0,0.12441789598553908,0.015493078262162114,-0.0021313502739662552,0.0,-0.12610532816115058,0.0,0.5452314531365398
17.441226959228516,0.0,0.12434085143349653,0.015473841229316197,-0.002133791209771576,0.0,-0.12602500292501426,0.0,0.5454051625864685
17.449201345443726,0.0,0.12426385708387987,0.01545738881038579,-0.0015865674928413217,0.0,-0.12595057487188116,0.0,0.5455793172026763
17.458204984664917,0.0,0.124187047600463,0.01543676150224604,-0.0018823331806396956,0.0,-0.12586684546529625,0.0,0.5457536111404477
17.466195583343506,0.0,0.1241105246213959,0.015419957191375037,-0.0014332584075768629,0.0,-0.1257932882395093,0.0,0.545927809939177
17.475227117538452,0.0,0.12403422927590789,0.015395918705178813,-0.002438488969385212,0.0,-0.12570435171619693,0.0,0.5461020433155672
17.483936548233032,0.0,0.12395796096597983,0.015380325193233275,-0.0017657634676749982,0.0,-0.12562935584164964,0.0,0.5462767678847159
17.491638660430908,0.0,0.12388169269779645,0.015360269087087326,-0.0019839833703378376,0.0,-0.12554765618024544,0.0,0.5464520464735942
17.499223709106445,0.0,0.12380555023286764,0.015343828283207194,-0.0014907462310379763,0.0,-0.12547452836928064,0.0,0.5466275899659853
17.508488178253174,0.0,0.12372964552997152,0.015323367803134178,-0.001812187070391158,0.0,-0.12539100444156018,0.0,0.5468031375520865
17.516509771347046,0.0,0.12365392487883023,0.015303367228431296,-0.0020533927231895345,0.0,-0.12530977484322675,0.0,0.5469788101133096
17.524222135543823,0.0,0.12357818537110893,0.015284061786396852,-0.0021575324099069077,0.0,-0.12523014353264056,0.0,0.5471550778559428
17.53522038459778,0.0,0.1235022607297666,0.015265053826080328,-0.0021956089458643633,0.0,-0.12515083073220992,0.0,0.5473323312488209
17.54498314857483,0.0,0.12342601510636865,0.015245841636052235,-0.0022608394891421406,0.0,-0.12507109474832998,0.0,0.5475108942784946
17.553176879882812,0.0,0.12334947251837462,0.015230111895699814,-0.0016202889437426985,0.0,-0.12499739824541446,0.0,0.5476907188157918
17.563268661499023,0.0,0.12327265224888782,0.015206348304682558,-0.0025681877946636114,0.0,-0.12491085466367466,0.0,0.5478717672533683
17.573731660842896,0.0,0.12319527543073691,0.015187822626938524,-0.0024481274594470807,0.0,-0.1248302424568541,0.0,0.5480547074908676
17.582467079162598,0.0,0.12311726295710007,0.01517220491640776,-0.0017201350358269161,0.0,-0.12475418954961956,0.0,0.5482397413838179
17.59124732017517,0.0,0.12303885083522567,0.015151546233190849,-0.0019787586193503828,0.0,-0.12466976747973711,0.0,0.5484263223458975
17.600266218185425,0.0,0.12296023349335825,0.015134668862450159,-0.0014766670373286745,0.0,-0.12459433392093425,0.0,0.5486139960898221
