Optimizer 6,EMG to q_d,Optimizer 1,Optimizer 2,Optimizer 3,Optimizer 4,Optimizer 5,pDMP coupled,pDMP omega,pDMP
0.0550945955524184,123.236109317304,1.9650245874913708,7.755730724312571,1.9592620859043564,0.8581841903776422,0.5255542667725877,26.48511543412724,46.99847755418318,46.75851172919465
0.0550133272270159,117.52807238529785,1.962050077963795,7.733123918995943,1.9563644038100847,0.857224957684366,0.5248561585347034,26.52863573260333,46.883227522442894,46.569418543640495
0.0549316148124034,111.84758919036142,1.9589982969137052,7.71035635338535,1.953390782460929,0.8562284214974625,0.5241584943860289,26.570061262276568,46.76553500004843,46.37943007423928
0.0548490142193713,106.19018397939328,1.9558705766087316,7.687427583391582,1.950342998213728,0.8551941377277217,0.5234612743265643,26.609401349020345,46.645436402315,46.18855165006153
0.0547664136263392,100.55111876461352,1.952669581584132,7.664340273549897,1.9472179424440128,0.8541212181967239,0.5227658306239391,26.646662210083605,46.52296592411176,45.99678682382091
0.0546833689440973,94.9237222158672,1.9493930913938584,7.641095756127925,1.9440169474194136,0.8530105510828889,0.5220708310105238,26.68184873044765,46.39815287532656,45.804144477301634
0.0545994360834356,89.30645045701624,1.9460402178594904,7.617693142947246,1.9407440099428184,0.8518634686538462,0.5213753873078986,26.714964018736964,46.27102656584725,45.61063349228789
0.0545155032227739,83.70816240166334,1.9426136255162876,7.5941342103647,1.937396909568179,0.8506790827311761,0.5206803876944832,26.74601473628968,46.14162119054299,45.416262750563874
0.0544315703621123,78.12839020182594,1.9391128702750395,7.570420734737127,1.9339734258494443,0.8494578374040884,0.5199867203486974,26.77500932080079,46.00996961201531,45.221041133913786
0.0543458611446112,72.52076428265752,1.9355375080465365,7.546550051529266,1.9304766674110847,0.8481997326725832,0.5192943852705412,26.80193622595084,45.87608737338656,45.02497930047866
0.0542597078379003,66.7923645281121,1.931885318384729,7.522513278956922,1.926905301985471,0.8469021040014013,0.5186016061031751,26.826750154640425,45.739958931534375,44.82808080297218
0.0541744427096091,60.867997087044046,1.9281505281298903,7.498294429808538,1.923254000502084,0.8455645073013329,0.517908826935809,26.84938049668517,45.60154343025147,44.63034919410802
0.0540882894028982,54.76256603742513,1.9243304727467605,7.473879293229402,1.919520986604084,0.8441860543939583,0.5172173800360724,26.8697601946144,45.46080711875789,44.43179690838406
0.0540012479177676,48.57860291807015,1.9204233758784996,7.449264316505832,1.9157049280238423,0.8427631925655987,0.516525489047126,26.88785949445105,45.31775221749968,44.23243815665501
0.0539137623434271,42.42947038157752,1.916428793435898,7.42445172008388,1.9118036043153095,0.8412968099946738,0.5158340421473895,26.90369171887141,45.17241514179205,44.03228004434823
